arrondissement,year,actifs_occupes,big_house,cdd,chomeurs,college_grad,csp_employed,csp_plus,empaid,fam_mono,immigration,interim,min_diploma,non_college,pop2554,pop3044,pop4559,pop5579,pop6074,retired,youth
7,2006-12-31,25210.101682,7733.809882000001,2364.747847,2447.746083,26040.789282,4942.927559000001,12969.291784000001,104.68509900000001,1556.846628,10776.789229999998,120.40903300000001,6953.718951999998,6039.945919000001,23121.944753000003,11191.538410000001,11380.204087999997,14714.569749999999,8266.345054,1515.693245,6581.250977000001
7,2007-12-31,25555.120417000006,7684.227191,2349.4323900000004,2349.4980330000003,26700.410332999993,4772.361498,13338.139222000003,100.67914099999999,1594.953568,11030.695994,123.46537399999998,6728.108546999999,5993.829373,23222.707586999997,11106.975611000002,11254.015965,14974.409465,8602.210473000001,1534.718833,6567.242249999999
7,2008-12-31,25470.719099,7656.168489,2298.681539,2284.953401,27130.669821000003,4611.760635000001,13501.527704,95.524079,1574.230973,10975.969515000003,162.48807000000002,6443.375992000001,5712.851763999999,22829.284066999993,10891.710335,11118.402355000002,15125.240767999998,8803.929935,1482.5690450000002,6373.695592000001
7,2009-12-31,25634.964674,7729.48274,2359.5491820000007,2412.9662429999994,27567.329743,4444.45301,13670.844646999998,84.04437199999998,1612.9233759999997,11193.332389999998,158.57403699999998,6168.519599999999,5834.394199999999,22882.145391,10987.058823,11058.247726999998,15197.076523,9078.873167000002,1477.8670180000001,6572.628952
7,2010-12-31,25939.173209000004,7860.101683000002,2384.4500689999995,2446.5034220000002,28095.846378000002,4457.129754,13715.485435000002,80.683146,1644.028114,11382.307491999998,165.177015,5968.552231,5816.617173,22987.768092,10918.870267,10985.017739,15382.123341999999,9376.858781999996,1443.2299639999999,6698.238451999998
7,2011-12-31,25646.194524074435,7847.10185460407,2319.709072372661,2668.0261546258594,28063.14689375189,4326.16908760686,13607.861637282536,55.37741483762273,1725.86067599516,11384.56637444699,149.37104300973527,5730.713865230724,5922.39228880824,22923.371152224,10827.457893093004,10681.559792727441,15023.785840876535,9400.120053046976,1378.4838480809713,6685.954732592931
7,2012-12-31,25270.864521792184,7783.202900485481,2263.3243899145223,2629.9752306809446,28023.910888361843,4250.431719115479,13509.568633078006,54.148709052778415,1708.487070769101,11238.246699269377,142.77347287153952,5406.610816324307,5843.956528047588,22482.011724842705,10714.812454359802,10596.694094180264,14867.27779839133,9366.140684756307,1271.9808595076424,6841.4856550635395
7,2013-12-31,24984.51802873707,7750.915299699952,2227.6580054105702,2614.378566276328,27776.372570086616,4116.341531565376,13486.247868693756,54.77378324738511,1723.845051775545,10987.632982881501,98.34618624156303,5292.909341690526,5600.294868381588,22110.964838061664,10524.084449090968,10332.745547855468,14558.832270490813,9325.363657344515,1209.0320907064115,6873.157609179214
7,2014-12-31,24645.281421900574,7544.545495573259,2127.8145038994317,2601.041417039387,27788.863797585815,4072.0200892314674,13425.327439999313,52.59361256302771,1630.9684315265508,10844.099769564327,87.18805271531456,5034.048350658194,5265.467435934221,21841.60243995557,10181.062033692364,10126.487300580044,14400.493979170373,9329.08067966688,1094.663136973163,6620.520005317179
7,2015-12-31,24005.1702237694,7398.572566472925,2045.1137411279014,2661.367983056827,27398.59239571081,3926.361334146638,13151.858354549444,51.706380642595725,1603.742235209192,10491.360381650777,78.5923748974505,4734.287080925998,4924.392035780595,21307.714775442444,9877.500596874488,9841.50469389891,14005.101575489129,9000.582734288606,959.8701254361372,6430.444589531881
