,date,ville,arrondissement,N,farleft,left,green,center,right,farright,other,type,incumbent,year_weights,unemployment,samplesize_agg,farleft_agg,left_agg,green_agg,center_agg,right_agg,farright_agg
92,2007-06-10,Paris,8,3964,54,418,93,459,2713,109,118,legislative,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
93,2008-03-09,Paris,8,3709,0,693,96,243,1239,88,1350,municipale,left,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
94,2009-06-07,Paris,8,3726,73,271,626,314,2007,92,343,european,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
95,2010-03-14,Paris,8,3729,83,497,479,152,1998,248,272,regional,left,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
96,2012-04-22,Paris,8,8456,347,1485,202,855,4928,497,142,president,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
97,2012-06-10,Paris,8,6083,75,1232,170,176,3448,324,658,legislative,right,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
98,2014-03-23,Paris,8,6923,98,1066,242,0,3228,330,1959,municipale,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
99,2014-05-25,Paris,8,6440,84,663,338,1034,2562,641,1118,european,right,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
100,2015-12-06,Paris,8,7014,107,1189,357,0,4008,737,616,regional,left,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
101,2017-04-23,Paris,8,15329,1031,629,0,4864,7738,678,389,president,left,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
102,2017-06-11,Paris,8,10122,288,335,263,5154,2384,255,1443,legislative,left,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
103,2019-05-25,Paris,8,13150,162,519,1502,6201,2551,956,1259,european,farright,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
104,2007-04-22,Paris,9,8305,239,2617,204,1884,2931,325,105,president,right,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
105,2007-06-10,Paris,9,6229,282,1679,347,976,2672,134,139,legislative,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
106,2008-03-09,Paris,9,6212,181,3058,391,499,1912,171,0,municipale,left,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
107,2009-06-07,Paris,9,5957,359,845,1932,508,1723,145,445,european,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
108,2010-03-14,Paris,9,6061,417,1571,1471,253,1747,307,295,regional,left,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
109,2012-04-22,Paris,9,12835,1198,4512,605,1392,4264,627,237,president,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
110,2012-06-10,Paris,9,9848,461,4142,632,353,3327,422,511,legislative,right,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
111,2014-03-23,Paris,9,11383,423,4457,912,0,4488,554,549,municipale,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
112,2014-05-25,Paris,9,10672,421,2160,1543,1568,2407,809,1764,european,right,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
113,2015-12-06,Paris,9,11413,577,3857,1326,0,3998,840,815,regional,left,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
114,2017-04-23,Paris,9,24396,3542,2343,0,10390,6576,809,736,president,left,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
115,2017-06-11,Paris,9,17260,1358,2259,1133,7492,3062,366,1590,legislative,left,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
116,2019-05-25,Paris,9,21335,746,1831,4713,8164,1945,1119,2817,european,farright,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
117,2007-04-22,Paris,10,11393,483,4784,377,2318,2851,439,141,president,right,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
118,2007-06-10,Paris,10,8146,796,2958,684,978,2359,207,164,legislative,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
119,2008-03-09,Paris,10,8532,649,4142,771,706,1358,252,654,municipale,left,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
120,2009-06-07,Paris,10,7619,837,1304,2766,567,1438,156,551,european,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
121,2010-03-14,Paris,10,8028,966,2387,2275,291,1377,395,337,regional,left,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
122,2012-04-22,Paris,10,17797,2650,7585,1044,1506,3697,943,372,president,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
