,arrondissement,date,type,N,farleft,left,green,center,right,other,ville,winner,last_winner,year_weights,unemployment,samplesize_agg,farleft_agg,left_agg,green_agg,center_agg,right_agg,farright_agg
61,8,2015-12-06,regional,7014,107,1189,357,0,4008,1353,Paris,right,right,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
62,8,2017-04-23,president,15329,1031,629,0,4864,7738,1067,Paris,right,right,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
63,8,2017-06-11,legislative,10122,288,335,263,5154,2384,1698,Paris,center,right,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
64,8,2019-05-25,european,13150,162,519,1502,6201,2551,2215,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
65,9,2007-04-22,president,8305,239,2617,204,1884,2931,430,Paris,right,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
66,9,2007-06-10,legislative,6230,282,1679,347,976,2672,274,Paris,right,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
67,9,2008-03-09,municipale,6212,181,3058,391,499,1912,171,Paris,left,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
68,9,2009-06-07,european,5957,359,845,1932,508,1723,590,Paris,green,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
69,9,2010-03-14,regional,6061,417,1571,1471,253,1747,602,Paris,right,green,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
70,9,2012-04-22,president,12835,1198,4512,605,1392,4264,864,Paris,left,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
71,9,2012-06-10,legislative,9849,461,4142,632,353,3327,934,Paris,left,left,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
72,9,2014-03-23,municipale,11383,423,4457,912,0,4488,1103,Paris,right,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
73,9,2014-05-25,european,10672,421,2160,1543,1568,2407,2573,Paris,right,right,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
74,9,2015-12-06,regional,11413,577,3857,1326,0,3998,1655,Paris,right,right,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
75,9,2017-04-23,president,24396,3542,2343,0,10390,6576,1545,Paris,center,right,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
76,9,2017-06-11,legislative,17260,1358,2259,1133,7492,3062,1956,Paris,center,center,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
77,9,2019-05-25,european,21335,746,1831,4713,8164,1945,3936,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
78,10,2007-04-22,president,11393,483,4784,377,2318,2851,580,Paris,left,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
79,10,2007-06-10,legislative,8146,796,2958,684,978,2359,371,Paris,left,left,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
80,10,2008-03-09,municipale,8532,649,4142,771,706,1358,906,Paris,left,left,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
81,10,2009-06-07,european,7619,837,1304,2766,567,1438,707,Paris,green,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
82,10,2010-03-14,regional,8028,966,2387,2275,291,1377,732,Paris,left,green,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
83,10,2012-04-22,president,17797,2650,7585,1044,1506,3697,1315,Paris,left,left,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
84,10,2012-06-10,legislative,13276,1838,5838,1307,618,2561,1114,Paris,left,left,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
85,10,2014-03-23,municipale,14807,949,6568,1702,0,3180,2408,Paris,left,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
86,10,2014-05-25,european,13919,1151,3230,2931,1523,1779,3305,Paris,left,left,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
87,10,2015-12-06,regional,15035,1524,5935,2392,0,2983,2201,Paris,left,left,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
88,10,2017-04-23,president,33155,8440,4698,0,12502,4980,2535,Paris,center,left,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
89,10,2017-06-11,legislative,23035,3112,2863,3371,9431,1689,2569,Paris,center,center,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
90,10,2019-05-25,european,27867,1887,2845,8066,7523,1367,6179,Paris,green,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
